timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
584806357,0,0,0,-17000,0,109.895004,3.1415925,4294967.5,3750047.8,99.99,99.99,101,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
585006133,0,0,0,-17000,0,109.914,3.1415925,4294967.5,3750047.8,99.99,99.99,101,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
585208021,0,0,0,-17000,0,109.93201,3.1415925,4294967.5,3750048.0,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
585408019,0,0,0,-17000,0,109.950005,3.1415925,4294967.5,3750048.0,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
585609098,0,0,0,-17000,0,109.968,3.1415925,4294967.5,3750048.0,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
585809095,0,0,0,-17000,0,109.98601,3.1415925,4294967.5,3750048.0,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
586009128,0,0,0,-17000,0,110.005005,3.1415925,4294967.5,3750048.0,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
586209183,0,0,0,-17000,0,110.023,3.1415925,4294967.5,3750048.0,99.99,99.99,100,14,0.0,0.0,0.0,0.0,0.0,0,0,0,0
586408156,0,0,0,-17000,0,110.04101,3.1415925,4294967.5,3750048.2,99.99,99.99,100,14,0.0,0.0,0.0,0.0,0.0,0,0,0,0
586607100,0,0,0,-17000,0,110.059006,3.1415925,4294967.5,3750048.2,99.99,99.99,100,14,0.0,0.0,0.0,0.0,0.0,0,0,0,0
586807129,0,0,0,-17000,0,110.077,3.1415925,4294967.5,3750048.2,99.99,99.99,100,14,0.0,0.0,0.0,0.0,0.0,0,0,0,0
587007018,0,0,0,-17000,0,110.09501,3.1415925,4294967.5,3750048.2,99.99,99.99,100,14,0.0,0.0,0.0,0.0,0.0,0,0,0,0
587207160,0,0,0,-17000,0,110.114006,3.1415925,4294967.5,3750048.2,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
587408062,0,0,0,-17000,0,110.132,3.1415925,4294967.5,3750048.2,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
587607160,0,0,0,-17000,0,110.15,3.1415925,4294967.5,3750048.5,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
587807118,0,0,0,-17000,0,110.16801,3.1415925,4294967.5,3750048.5,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
588008086,0,0,0,-17000,0,110.186005,3.1415925,4294967.5,3750048.5,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
588208017,0,0,0,-17000,0,110.204,3.1415925,4294967.5,3750048.5,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
588408018,0,0,0,-17000,0,110.22301,3.1415925,4294967.5,3750048.5,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
588609025,0,0,0,-17000,0,110.241005,3.1415925,4294967.5,3750048.5,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
588809063,0,0,0,-17000,0,110.259,3.1415925,4294967.5,3750048.5,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
589008155,0,0,0,-17000,0,110.27701,3.1415925,4294967.5,3750048.8,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
589209090,0,0,0,-17000,0,110.295006,3.1415925,4294967.5,3750048.8,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
589409045,0,0,0,-17000,0,110.313,3.1415925,4294967.5,3750048.8,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
589609119,0,0,0,-17000,0,110.33101,3.1415925,4294967.5,3750049.0,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
589809208,0,0,0,-17000,0,110.34901,3.1415925,4294967.5,3750049.0,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
590008157,0,0,0,-17000,0,110.368004,3.1415925,4294967.5,3750049.0,99.99,99.99,100,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
590207818,0,0,0,-17000,0,110.386,3.1415925,4294967.5,3750049.0,99.99,99.99,100,8,0.0,0.0,0.0,0.0,0.0,0,0,0,0
590407126,0,0,0,-17000,0,110.40401,3.1415925,4294967.5,3750049.0,99.99,99.99,100,8,0.0,0.0,0.0,0.0,0.0,0,0,0,0
590607078,0,0,0,-17000,0,110.422005,3.1415925,4294967.5,3750049.0,99.99,99.99,100,8,0.0,0.0,0.0,0.0,0.0,0,0,0,0
590807024,0,0,0,-17000,0,110.44,3.1415925,4294967.5,3750049.2,99.99,99.99,100,8,0.0,0.0,0.0,0.0,0.0,0,0,0,0
591008550,0,0,0,-17000,0,110.45801,3.1415925,4294967.5,3750049.2,99.99,99.99,100,8,0.0,0.0,0.0,0.0,0.0,0,0,0,0
591207545,0,0,0,-17000,0,110.476006,3.1415925,4294967.5,3750049.2,99.99,99.99,100,17,0.0,0.0,0.0,0.0,0.0,0,0,0,0
591408638,0,0,0,-17000,0,110.494,3.1415925,4294967.5,3750049.2,99.99,99.99,100,17,0.0,0.0,0.0,0.0,0.0,0,0,0,0
