timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
574690877,0.008236261,0.00024378036,0.018757816,3991,0,-0.79481304,-0.14397268,-9.87529,3991,-7494,-0.11932827,-0.18127483,0.3185274,-9836,-52.393433,42.399998
574694877,-0.01962266,0.0033744115,0.040847912,4000,0,0.32798514,0.018457558,-10.076847,4000,-11494,-0.11932827,-0.18127483,0.3185274,-2882,-52.47684,42.399998
574698877,-0.03168194,0.0023462444,0.051975988,4000,0,0.69320494,0.47143853,-9.671098,4000,-15494,-0.11932827,-0.18127483,0.3185274,-6882,-52.47684,42.399998
574702877,-0.005004136,-0.0028828462,0.025252197,4000,0,-0.3392337,0.1330202,-9.742597,4000,-19494,-0.11932827,-0.18127483,0.3185274,-10882,-52.47684,42.399998
574706893,0.016500589,0.018322527,0.0082746325,4016,0,-0.51105094,-0.40278625,-9.867002,4016,-23510,-0.11932827,-0.18127483,0.3185274,-14898,-52.47684,42.399998
574710877,-0.042077072,0.006409472,0.009455237,3984,0,0.61332226,0.43264544,-10.096236,3984,-4875,-0.1179307,-0.18127483,0.33924532,-18882,-52.47684,42.399998
574714917,-0.01681594,0.008609749,0.021981496,4040,0,0.36495844,0.6366795,-9.532811,4040,-8915,-0.1179307,-0.18127483,0.33924532,-922,-52.227875,42.41
574718877,0.03857303,0.009322331,-0.008814981,3960,0,-0.56332403,-0.38829038,-9.865568,3960,-12875,-0.1179307,-0.18127483,0.33924532,-4882,-52.227875,42.41
574722877,-0.009545377,0.010808815,-0.027553624,4000,0,0.27990386,-0.25666565,-10.149553,4000,-16875,-0.1179307,-0.18127483,0.33924532,-8882,-52.227875,42.41
574726900,-0.055263516,-0.0052920575,-0.02393326,4023,0,1.0489908,0.7657841,-9.63428,4023,-20898,-0.1179307,-0.18127483,0.33924532,-1905,-52.890724,42.41
574730878,0.024736932,-0.0045208833,-0.023801412,3978,0,-0.3726866,0.034679756,-9.736292,3978,-24876,-0.1179307,-0.18127483,0.33924532,-5883,-52.890724,42.41
574734877,0.0257752,0.008974517,-0.019293569,3999,0,-0.5575899,-0.3873892,-10.145091,3999,-4874,-0.12771365,-0.1850306,0.32070822,-9882,-52.890724,42.41
574738877,-0.07934664,0.0067966036,-0.029503724,4000,0,1.0720148,0.7037328,-9.897745,4000,-8874,-0.12771365,-0.1850306,0.32070822,-2877,-52.725174,42.41
