timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
194717343,-0.24204053,0.009935617,0.04165904,4000,0,1.2272236,1.0084704,-9.6156845,4000,-9337,-0.123520955,-0.17125945,0.34905905,-1349,-40.29445,34.7
194721343,-0.014127655,-0.015809143,0.014599987,4000,0,-0.7095963,0.22048263,-8.737848,4000,-13337,-0.123520955,-0.17125945,0.34905905,-5349,-40.29445,34.7
194725343,0.25228503,-0.005684577,0.00046380938,4000,0,-0.2686659,-1.154133,-10.886018,4000,-17337,-0.123520955,-0.17125945,0.34905905,-9349,-40.29445,34.7
194729343,-0.20517579,0.0073349676,0.03271466,4000,0,1.3975201,0.8547155,-9.985187,4000,-21337,-0.123520955,-0.17125945,0.34905905,-2274,-40.874557,34.7
194733343,-0.0585127,-0.013291896,0.0032410184,4000,0,-0.54439396,0.41091314,-8.688529,4000,-3350,-0.12771365,-0.17376329,0.34360698,-6274,-40.874557,34.7
194737343,0.26403847,-0.006904871,-0.016978089,4000,0,-0.45788032,-1.1513205,-10.664875,4000,-7350,-0.12771365,-0.17376329,0.34360698,-10274,-40.874557,34.7
194741343,-0.16296335,0.010671831,0.008646174,4000,0,1.5081918,0.6920213,-10.301697,4000,-11350,-0.12771365,-0.17376329,0.34360698,-3348,-40.708817,34.7
194745343,-0.11057807,-0.004104396,-0.013365127,4000,0,-0.34420246,0.70346916,-8.603826,4000,-15350,-0.12771365,-0.17376329,0.34360698,-7348,-40.708817,34.7
194749344,0.27281064,-0.010845997,-0.03723784,4001,0,-0.62231797,-1.2105569,-10.489249,4001,-19351,-0.12771365,-0.17376329,0.34360698,-11349,-40.708817,34.7
194753343,-0.115644276,0.006155163,-0.009065578,3999,0,1.4466864,0.51396334,-10.508446,3999,-1349,-0.14588198,-0.1850306,0.35451114,-15348,-40.708817,34.7
