timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
209121132,209121132,7,255,0,0,0,1499,1504,1171,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
209317369,209317369,7,255,0,0,0,1499,1504,1184,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
209517216,209517216,7,255,0,0,0,1499,1504,1195,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
209725842,209725842,7,255,0,0,0,1499,1504,1204,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
209917839,209917839,7,255,0,0,0,1499,1504,1204,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
210129848,210129848,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
210317849,210317849,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
210531524,210531524,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
210731552,210731552,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
210939773,210939773,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
211139512,211139512,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
211332330,211332330,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
211552579,211552579,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
211740327,211740327,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
211956319,211956319,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
212161052,212161052,7,255,0,0,0,1622,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
212349144,212349144,7,255,0,0,0,1920,1493,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
212569122,212569122,7,255,0,0,0,1630,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
212757112,212757112,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
212965845,212965845,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
213182840,213182840,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
213382724,213382724,7,255,0,0,0,1770,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
213582647,213582647,7,255,0,0,0,1920,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
213776362,213776362,7,255,0,0,0,1517,1505,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
213976367,213976367,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
214180586,214180586,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
214377939,214377939,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
214598147,214598147,7,255,0,0,0,1920,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
214797907,214797907,7,255,0,0,0,1842,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
214998757,214998757,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
215186725,215186725,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
215406978,215406978,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
215610728,215610728,7,255,0,0,0,1499,1504,1202,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
215814644,215814644,7,255,0,0,0,1499,1504,1202,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
216011445,216011445,7,255,0,0,0,1499,1504,1202,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
216219524,216219524,7,255,0,0,0,1499,1504,1202,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
216419522,216419522,7,255,0,0,0,1499,1504,1203,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
216619447,216619447,7,255,0,0,0,1499,1504,1212,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
216820330,216820330,7,255,0,0,0,1499,1504,1215,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
