timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
241477343,0.019911913,-0.41011962,0.036305707,0.27539477,-0.021077195,-0.018330248,0.96092534,0.0,0.0,0.0,0.0,0
241509343,0.28429115,-0.6517696,0.05102314,0.27561978,-0.023930594,-0.018147688,0.96079755,0.0,0.0,0.0,0.0,0
241541343,-0.12450691,0.09023133,0.03651634,0.27483004,-0.026376922,-0.01817542,0.96095914,0.0,0.0,0.0,0.0,0
241573343,-0.25324082,0.7489735,-0.08910055,0.27574733,-0.024111219,-0.016914288,0.96077883,0.0,0.0,0.0,0.0,0
241605343,0.018967403,0.23491369,0.027693903,0.2750598,-0.021740943,-0.017773647,0.961017,0.0,0.0,0.0,0.0,0
241637344,0.52670836,-0.68629444,-0.10835003,0.27540168,-0.022190683,-0.017864937,0.96090704,0.0,0.0,0.0,0.0,0
241669343,-0.12543258,-0.4644163,-0.010898745,0.27498642,-0.025797749,-0.01823156,0.960929,0.0,0.0,0.0,0.0,0
241698143,-0.3864279,0.7244079,-0.06350187,0.27523273,-0.024577389,-0.01664927,0.96091926,0.0,0.0,0.0,0.0,0
241730143,0.0024213158,0.285229,0.081934355,0.27485076,-0.021912783,-0.017969469,0.9610692,0.0,0.0,0.0,0.0,0
241762143,0.27477387,-0.68831015,-0.012458007,0.27475882,-0.022192448,-0.018051319,0.9610875,0.0,0.0,0.0,0.0,0
241794143,-0.08011432,-0.35928968,-0.016171452,0.27463144,-0.025733834,-0.018404016,0.961029,0.0,0.0,0.0,0.0,0
241826143,-0.40179184,0.50356466,0.13721184,0.27419555,-0.025787918,-0.01744126,0.9611699,0.0,0.0,0.0,0.0,0
241858143,0.31623954,0.5437444,-0.027164608,0.27450722,-0.022663357,-0.016747395,0.9611721,0.0,0.0,0.0,0.0,0
241890143,0.14491835,-0.35051227,-0.004032029,0.27407625,-0.021712758,-0.018362492,0.96128744,0.0,0.0,0.0,0.0,0
241918143,0.032537438,-0.36127672,-0.03127312,0.27393538,-0.025715351,-0.01838355,0.9612285,0.0,0.0,0.0,0.0,0
241950143,-0.35903212,0.52201563,0.17159986,0.27395096,-0.025594464,-0.017426722,0.9612451,0.0,0.0,0.0,0.0,0
241982143,0.24052486,0.46792197,-0.08222732,0.27406004,-0.02259893,-0.016993243,0.96129686,0.0,0.0,0.0,0.0,0
242014143,0.0373349,-0.45321378,0.052150965,0.27375913,-0.021382384,-0.01842639,0.96138406,0.0,0.0,0.0,0.0,0
242046143,0.05301563,-0.63618577,-0.042071056,0.27340743,-0.024435984,-0.018577775,0.96140844,0.0,0.0,0.0,0.0,0
242078146,-0.26695833,0.27103376,0.17839637,0.27351746,-0.02642103,-0.018123107,0.96133333,0.0,0.0,0.0,0.0,0
242110143,-0.14330155,0.6982475,-0.060143586,0.27333292,-0.024063451,-0.016848907,0.9614709,0.0,0.0,0.0,0.0,0
242142149,-0.033657596,0.16459477,0.025498927,0.27335963,-0.021674376,-0.018328208,0.9614931,0.0,0.0,0.0,0.0,0
242170143,0.28805193,-0.7327271,0.057579797,0.27310556,-0.024443496,-0.018885003,0.96148807,0.0,0.0,0.0,0.0,0
242202143,-0.36375648,0.19059823,0.12492964,0.27275857,-0.026372153,-0.018125366,0.96155024,0.0,0.0,0.0,0.0,0
242234143,-0.12027499,0.69986475,-0.10782195,0.27354825,-0.02367906,-0.016688254,0.961422,0.0,0.0,0.0,0.0,0
242266143,0.14268115,0.20525931,0.051222984,0.2728893,-0.021595495,-0.017747577,0.96163934,0.0,0.0,0.0,0.0,0
242298143,0.06013065,-0.7483172,-0.044076603,0.27320537,-0.022547219,-0.01864242,0.96151084,0.0,0.0,0.0,0.0,0
242330143,-0.15136161,-0.46743715,0.01092818,0.2728991,-0.025826413,-0.018608721,0.96151584,0.0,0.0,0.0,0.0,0
242362143,-0.518862,0.5815895,0.02900314,0.2732867,-0.025486201,-0.017463278,0.9614364,0.0,0.0,0.0,0.0,0
242394143,0.26481944,0.54160225,0.053396173,0.27272502,-0.022488158,-0.017662456,0.961667,0.0,0.0,0.0,0.0,0
242422143,0.2605441,-0.6709306,-0.0063130753,0.27278113,-0.022758497,-0.018208178,0.9616345,0.0,0.0,0.0,0.0,0
242454143,-0.09475334,-0.3799747,-0.06134994,0.27279848,-0.025825135,-0.018251192,0.9615513,0.0,0.0,0.0,0.0,0
242486143,-0.41683072,0.5592141,0.017901523,0.2725802,-0.025430908,-0.017365046,0.9616402,0.0,0.0,0.0,0.0,0
242518143,0.22985932,0.58065337,-0.027684344,0.27252102,-0.022667361,-0.017007014,0.96173245,0.0,0.0,0.0,0.0,0
242550143,0.18175603,-0.4850747,0.075731285,0.27234894,-0.021709688,-0.01849991,0.9617757,0.0,0.0,0.0,0.0,0
242582143,0.123844825,-0.67904407,-0.10471721,0.27222326,-0.024771562,-0.018596582,0.9617355,0.0,0.0,0.0,0.0,0
242611744,-0.30610707,0.50130373,0.1490769,0.27240023,-0.02625593,-0.017531041,0.9616659,0.0,0.0,0.0,0.0,0
242643743,0.20378028,0.66649586,0.005669855,0.2722634,-0.023273041,-0.01666158,0.961797,0.0,0.0,0.0,0.0,0
242675743,0.09493853,-0.2312562,0.0034662024,0.27225676,-0.021696841,-0.018237507,0.96180713,0.0,0.0,0.0,0.0,0
242707774,0.223864,-0.77631384,-0.017440632,0.2719679,-0.023789397,-0.018112484,0.9618417,0.0,0.0,0.0,0.0,0
242739743,-0.18677212,0.116902664,-0.0034147156,0.27189767,-0.026862578,-0.017649334,0.9617893,0.0,0.0,0.0,0.0,0
242771743,-0.40005678,0.6950644,-0.025170883,0.27194288,-0.024687322,-0.016687753,0.961852,0.0,0.0,0.0,0.0,0
242799743,0.030944549,-0.17633665,0.015014589,0.27144808,-0.021550452,-0.018316386,0.9620375,0.0,0.0,0.0,0.0,0
242831743,0.3837051,-0.71283615,-0.030794574,0.27173316,-0.023961842,-0.018045455,0.96190506,0.0,0.0,0.0,0.0,0
242863743,-0.23304285,-0.058696955,0.029095972,0.27125132,-0.026755977,-0.017820943,0.9619716,0.0,0.0,0.0,0.0,0
242895743,-0.3922617,0.7102264,-0.08417614,0.271968,-0.024827009,-0.016577408,0.96184313,0.0,0.0,0.0,0.0,0
242927743,0.20572683,0.3682772,0.03302727,0.27147502,-0.022026142,-0.017378332,0.9620365,0.0,0.0,0.0,0.0,0
242959750,0.2633036,-0.6302321,0.00093788747,0.27186337,-0.022235572,-0.017998789,0.9619106,0.0,0.0,0.0,0.0,0
242991743,0.13402437,-0.7387081,-0.082351446,0.27191892,-0.02546316,-0.017954594,0.9618157,0.0,0.0,0.0,0.0,0
243023743,-0.40773562,0.48913592,0.065435275,0.27152827,-0.026278313,-0.017259965,0.96191686,0.0,0.0,0.0,0.0,0
243051743,0.19303828,0.4583489,0.009338038,0.2719615,-0.022589592,-0.017075475,0.9618915,0.0,0.0,0.0,0.0,0
243083749,0.18482532,-0.59121954,0.015278777,0.2712752,-0.02222944,-0.017999575,0.9620767,0.0,0.0,0.0,0.0,0
243115744,0.16583847,-0.5778946,-0.06725361,0.27152863,-0.025436288,-0.018292129,0.9619202,0.0,0.0,0.0,0.0,0
243147743,-0.37352213,0.39765242,0.17074387,0.27102062,-0.02672936,-0.017400615,0.962045,0.0,0.0,0.0,0.0,0
243179744,0.025136773,0.6867988,-0.06112719,0.27108493,-0.023967715,-0.016442822,0.9621166,0.0,0.0,0.0,0.0,0
243211774,0.120193735,0.04477421,0.050872073,0.2711985,-0.022048017,-0.0180387,0.96210176,0.0,0.0,0.0,0.0,0
243243743,0.4942117,-0.6023494,-0.0968961,0.27122378,-0.023481077,-0.017497715,0.9620708,0.0,0.0,0.0,0.0,0
243272543,-0.37313306,0.25903815,0.1877259,0.27117082,-0.027029725,-0.018089298,0.96198153,0.0,0.0,0.0,0.0,0
243304543,-0.260472,0.5709433,-0.08753057,0.2716653,-0.024651684,-0.01675855,0.9619301,0.0,0.0,0.0,0.0,0
243336543,0.099655,0.2244812,0.03284689,0.27179563,-0.022482093,-0.017647,0.9619306,0.0,0.0,0.0,0.0,0
243368546,0.30844232,-0.5154694,0.018475324,0.27156904,-0.023105104,-0.01772329,0.9619783,0.0,0.0,0.0,0.0,0
243400543,0.12599395,-0.43178517,-0.028969863,0.27136838,-0.025851175,-0.017788509,0.9619639,0.0,0.0,0.0,0.0,0
243432543,-0.45901626,0.4757974,0.120492384,0.271331,-0.026031572,-0.016852856,0.9619864,0.0,0.0,0.0,0.0,0
243464543,0.1623308,0.56824815,-0.031698477,0.2717286,-0.023740234,-0.016344951,0.9619422,0.0,0.0,0.0,0.0,0
243496543,0.104920834,-0.061501697,-0.009419909,0.27135623,-0.022222685,-0.017693957,0.96205974,0.0,0.0,0.0,0.0,0
243524544,0.0235297,-0.43491098,-0.055534687,0.27170873,-0.025003249,-0.017892415,0.9618883,0.0,0.0,0.0,0.0,0
243556543,-0.5141423,0.23186398,0.13783206,0.27171066,-0.025661228,-0.016985387,0.9618869,0.0,0.0,0.0,0.0,0
243588543,0.027093736,0.5542805,-0.028689478,0.272192,-0.02405637,-0.01593108,0.96181035,0.0,0.0,0.0,0.0,0
243620543,0.011051522,0.15763763,0.008975938,0.27208248,-0.02262966,-0.01711735,0.9618556,0.0,0.0,0.0,0.0,0
243652543,0.4159761,-0.44878697,-0.027422737,0.27215675,-0.02280868,-0.017351678,0.96182615,0.0,0.0,0.0,0.0,0
243684543,-0.13852148,-0.28872445,-0.0066324035,0.27184522,-0.024867442,-0.017790353,0.9618552,0.0,0.0,0.0,0.0,0
243716543,-0.30506626,0.18189083,0.104303025,0.27187768,-0.024715243,-0.016312622,0.96187615,0.0,0.0,0.0,0.0,0
243748543,0.14861289,0.36523068,-0.056396,0.27218804,-0.023369988,-0.015839921,0.9618298,0.0,0.0,0.0,0.0,0
243776543,0.09131376,-0.28354946,0.047212422,0.27195176,-0.022488503,-0.017347593,0.96189165,0.0,0.0,0.0,0.0,0
243808543,0.11495115,-0.44287062,-0.08262503,0.27194566,-0.02372563,-0.017749881,0.96185637,0.0,0.0,0.0,0.0,0
243840543,-0.20863515,0.088534005,0.14676128,0.27201134,-0.024517724,-0.016376352,0.9618423,0.0,0.0,0.0,0.0,0
243872543,-0.09899101,0.302888,-0.025685191,0.2720285,-0.024023386,-0.015966054,0.96185684,0.0,0.0,0.0,0.0,0
243904543,0.17799942,0.25635475,-0.016736977,0.27230358,-0.023100296,-0.016705617,0.961789,0.0,0.0,0.0,0.0,0
243936543,0.20052813,-0.12992239,0.0052756234,0.2717499,-0.022541793,-0.017458623,0.9619455,0.0,0.0,0.0,0.0,0
243968543,-0.15456009,-0.24158849,0.025179923,0.2720649,-0.02366921,-0.017846007,0.9618222,0.0,0.0,0.0,0.0,0
244000543,-0.08812323,-0.02951457,0.064402044,0.27206072,-0.024212599,-0.016610702,0.961832,0.0,0.0,0.0,0.0,0
244028543,-0.0042757825,0.24334589,-0.0023176074,0.27264956,-0.02357537,-0.016292293,0.9616866,0.0,0.0,0.0,0.0,0
244060543,0.14128453,0.19177099,0.029601226,0.27249664,-0.022993138,-0.017055865,0.9617307,0.0,0.0,0.0,0.0,0
244092543,0.14303558,-0.13930526,-0.0020262515,0.27267343,-0.022770092,-0.01755683,0.96167696,0.0,0.0,0.0,0.0,0
244124543,-0.38335776,-0.23476547,0.074134,0.27276763,-0.023258483,-0.017198278,0.961645,0.0,0.0,0.0,0.0,0
244156543,0.0062754126,-0.11238447,-0.051636204,0.2732835,-0.023476154,-0.015836004,0.9615166,0.0,0.0,0.0,0.0,0
244189343,-0.05319619,0.16268033,0.013226891,0.27334785,-0.02389383,-0.016346496,0.96147954,0.0,0.0,0.0,0.0,0
244217343,-0.05685141,0.16287625,0.027876109,0.27305284,-0.02292798,-0.017274717,0.9615707,0.0,0.0,0.0,0.0,0
244249343,-0.09527913,-0.113346264,0.021992886,0.27348733,-0.022244126,-0.01712343,0.96146595,0.0,0.0,0.0,0.0,0
244281343,-0.0429013,-0.2183719,0.033394925,0.27336177,-0.022622248,-0.0164479,0.96150464,0.0,0.0,0.0,0.0,0
244313343,0.11803242,-0.06423393,-0.004180574,0.2738635,-0.023484878,-0.01612556,0.9613466,0.0,0.0,0.0,0.0,0
244345343,0.11669525,0.13574035,0.011894762,0.27372497,-0.023600198,-0.016371917,0.9613791,0.0,0.0,0.0,0.0,0
244377373,-0.17674378,0.29552257,0.022308167,0.2738328,-0.022722539,-0.016704282,0.9613638,0.0,0.0,0.0,0.0,0
244409380,0.088840894,0.08068756,0.05296663,0.27414367,-0.021485658,-0.016308092,0.96131045,0.0,0.0,0.0,0.0,0
244441343,0.07581573,-0.23633878,-0.045202136,0.27439454,-0.021915909,-0.016567942,0.9612247,0.0,0.0,0.0,0.0,0
244473343,0.096199684,-0.26084626,-0.02883859,0.27471828,-0.022924414,-0.016391164,0.9611117,0.0,0.0,0.0,0.0,0
244501345,-0.068398155,0.30306265,0.035789188,0.2746983,-0.023016162,-0.015952371,0.9611226,0.0,0.0,0.0,0.0,0
244533343,-0.0049626064,0.32004103,-0.005529261,0.27527997,-0.021976156,-0.016190805,0.9609765,0.0,0.0,0.0,0.0,0
244565345,0.030154977,-0.11518009,0.028845865,0.27508453,-0.021185508,-0.01668882,0.96104175,0.0,0.0,0.0,0.0,0
244597343,-0.09148452,-0.23915978,-0.025254907,0.2754895,-0.021873003,-0.016713705,0.96090984,0.0,0.0,0.0,0.0,0
244629343,-0.028778419,-0.18483345,0.0782308,0.27568886,-0.022576084,-0.01609844,0.9608469,0.0,0.0,0.0,0.0,0
244661343,0.085772984,0.1537746,-0.015056341,0.2759324,-0.022737646,-0.015743393,0.96077913,0.0,0.0,0.0,0.0,0
244693343,-0.0076567973,0.31619796,0.025826402,0.27631953,-0.022190208,-0.01616425,0.96067363,0.0,0.0,0.0,0.0,0
244721344,0.063261285,-0.047368802,0.029067568,0.27616104,-0.02102812,-0.016526848,0.96073914,0.0,0.0,0.0,0.0,0
244753344,-0.13008575,-0.29859304,-0.026263215,0.27686638,-0.021390112,-0.016165495,0.96053433,0.0,0.0,0.0,0.0,0
244785343,-0.012810667,-0.1351336,0.021658372,0.27690524,-0.022295088,-0.015569906,0.9605124,0.0,0.0,0.0,0.0,0
244817343,0.053708106,0.048953455,-0.01695886,0.2772613,-0.022482514,-0.015605001,0.9604047,0.0,0.0,0.0,0.0,0
244849343,0.02665868,0.381329,0.031500883,0.27746424,-0.022030806,-0.01600219,0.9603501,0.0,0.0,0.0,0.0,0
244881343,-0.12015611,0.1323021,-0.018662766,0.277552,-0.020977668,-0.01614813,0.96034586,0.0,0.0,0.0,0.0,0
