timestamp,timestamp_received,id,q[0],q[1],q[2],q[3],x,y,z
218470784,218470784,240,-0.7075214,-0.0023455413,-0.0022138418,-0.70668465,-0.29785883,-3.4899728,-0.9996206
218476320,218476320,240,-0.7072021,-0.0003595029,8.4177205e-05,-0.7070115,-0.29794338,-3.4899323,-0.9995018
218778353,218778354,240,-0.7073403,-0.0008523932,-0.00049074,-0.7068726,-0.29797664,-3.4898963,-0.99945277
218784175,218784176,240,-0.70722747,-0.00014279189,-6.2800136e-05,-0.7069861,-0.29793876,-3.4899683,-0.99950683
219087356,219087356,240,-0.7072379,-0.00048506595,-0.000114894654,-0.70697546,-0.2979381,-3.4899201,-0.99950886
219090203,219090203,240,-0.70719266,-4.61539e-05,4.568287e-05,-0.7070209,-0.29793364,-3.489964,-0.9994898
219391111,219391112,240,-0.7069913,-0.00021704652,-0.00016092898,-0.7072222,-0.2979179,-3.489997,-0.99951404
219397258,219397258,240,-0.7074185,-0.0023454996,-0.0019282656,-0.7067885,-0.29789376,-3.4899902,-0.9995922
219698097,219698097,240,-0.7071414,-0.00024358755,-5.1917294e-05,-0.70707214,-0.29793808,-3.4899268,-0.9994835
219704458,219704458,240,-0.7072537,-5.217605e-05,0.00020722828,-0.70695984,-0.297983,-3.4899373,-0.9995024
220007508,220007508,240,-0.7075343,0.00035810197,0.0005834421,-0.70667875,-0.2979528,-3.490023,-0.9994722
220011159,220011160,240,-0.7073484,-0.00032811848,-2.6269958e-05,-0.70686495,-0.29795015,-3.4899387,-0.99951047
220315266,220315266,240,-0.7073381,-0.0007833095,-0.00046918393,-0.7068748,-0.29795685,-3.4899628,-0.9995399
220322319,220322319,240,-0.70752096,-0.0017882691,-0.001412865,-0.70668876,-0.29798028,-3.489918,-0.9994846
220931806,220931806,240,-0.70727247,0.00019745984,0.00016820939,-0.706941,-0.29800394,-3.4899354,-0.9994971
220934131,220934131,240,-0.7070462,-0.00035221607,-9.047764e-05,-0.7071673,-0.29791722,-3.4899893,-0.99950665
221236222,221236222,240,-0.70723265,-0.0014304883,-0.0010372818,-0.70697874,-0.297918,-3.4899483,-0.9995486
221243173,221243174,240,-0.7073699,-0.0010122688,-0.0006945203,-0.7068425,-0.2979933,-3.489923,-0.9994658
221544109,221544109,240,-0.7072571,-0.00021208709,-0.00013968005,-0.7069565,-0.29796115,-3.4899676,-0.9994882
221549417,221549417,240,-0.70709896,-0.00027833684,-5.054104e-05,-0.7071146,-0.29794648,-3.4899526,-0.9995207
221851141,221851142,240,-0.7073985,-0.0011639345,-0.0005931946,-0.70681375,-0.29788947,-3.4899378,-0.9995418
221855281,221855282,240,-0.7075215,-0.0035369,-0.0024435027,-0.70667875,-0.29782692,-3.4899454,-0.999657
222156147,222156148,240,-0.7071919,-0.00020323883,0.00020963911,-0.70702165,-0.29794735,-3.4899323,-0.99950516
222164156,222164156,240,-0.70761025,0.00065144146,0.00084349525,-0.70660216,-0.29794383,-3.4899921,-0.99946445
222464792,222464792,240,-0.7072212,-0.0005103134,-0.00035847054,-0.7069922,-0.29793972,-3.4899435,-0.9995256
222472886,222472887,240,-0.7074796,0.00031015527,0.00010196439,-0.7067338,-0.297964,-3.489925,-0.9995026
222771123,222771123,240,-0.7071491,0.00016851742,0.00021096054,-0.70706445,-0.29792833,-3.4899266,-0.99948126
222777341,222777341,240,-0.7086323,0.0018893331,-0.0006275581,-0.7055752,-0.29806492,-3.4899442,-0.999409
223080456,223080456,240,-0.7072831,-0.0017244403,-0.0012435586,-0.7069273,-0.29791707,-3.4899275,-0.9995787
