timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
412575734,0,0.0,0.0,-0.2997818,-3.4901524,-0.9903108,0.0,0.0,0.0,-0.17902961,-0.024199592,1.1770259,1.1770259,0.0,0.0,0.0,0.0,0.0,0.0,1.5672473,0.0,0.9903108,-1.1770259,4.3316007,3.063171,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
412675764,0,0.0,0.0,-0.2997818,-3.4901521,-0.9903108,0.0,0.0,0.0,-0.17902961,-0.024199592,1.1605139,1.1605139,0.0,0.0,0.0,0.0,0.0,0.0,1.5680491,0.0,0.9903108,-1.1605139,4.3561707,3.080574,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
412775794,0,0.0,0.0,-0.2997818,-3.4901521,-0.9903108,0.0,0.0,0.0,-0.17902961,-0.024199592,1.1731577,1.1731577,0.0,0.0,0.0,0.0,0.0,0.0,1.5670795,0.0,0.9903108,-1.1731577,4.3815536,3.0985537,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
412875825,0,0.0,0.0,-0.2997818,-3.4901521,-0.9903108,0.0,0.0,0.0,-0.17902961,-0.024199592,1.1655192,1.1655192,0.0,0.0,0.0,0.0,0.0,0.0,1.5670313,0.0,0.9903108,-1.1655192,4.40774,3.1171036,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
412975855,0,0.0,0.0,-0.2997818,-3.4901521,-0.99031067,0.0,0.0,0.0,-0.17902961,-0.02419959,1.1788248,1.1788248,0.0,0.0,0.0,0.0,0.0,0.0,1.5673708,0.0,0.9903108,-1.1788248,4.4347205,3.1362169,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
413076010,0,0.0,0.0,-0.2997818,-3.4901521,-0.99031067,0.0,0.0,0.0,-0.1790296,-0.02419959,1.1544484,1.1544484,0.0,0.0,0.0,0.0,0.0,0.0,1.5674549,0.0,0.99031067,-1.1544484,4.4625196,3.1559112,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
413186123,0,0.0,0.0,-0.2997818,-3.4901524,-0.99031067,0.0,0.0,0.0,-0.17902961,-0.02419959,1.166584,1.166584,0.0,0.0,0.0,0.0,0.0,0.0,1.5669707,0.0,0.9903107,-1.166584,4.493978,3.1781988,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
413286200,0,0.0,0.0,-0.2997818,-3.4901524,-0.9903107,0.0,0.0,0.0,-0.17902961,-0.02419959,1.1571795,1.1571795,0.0,0.0,0.0,0.0,0.0,0.0,1.5672338,0.0,0.9903107,-1.1571795,4.5233717,3.199025,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
413386341,0,0.0,0.0,-0.2997818,-3.4901524,-0.9903108,0.0,0.0,0.0,-0.1790296,-0.02419959,1.1421893,1.1421893,0.0,0.0,0.0,0.0,0.0,0.0,1.566757,0.0,0.9903107,-1.1421893,4.553538,3.2203991,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
413486424,0,0.0,0.0,-0.2997818,-3.4901526,-0.9903108,0.0,0.0,0.0,-0.17902961,-0.024199592,1.1352448,1.1352448,0.0,0.0,0.0,0.0,0.0,0.0,1.5668846,0.0,0.9903108,-1.1352448,4.58443,3.2422888,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
413586491,0,0.0,0.0,-0.2997818,-3.4901524,-0.9903108,0.0,0.0,0.0,-0.17902961,-0.02419959,1.1213608,1.1213608,0.0,0.0,0.0,0.0,0.0,0.0,1.5661843,0.0,0.9903108,-1.1213608,4.6160493,3.2646947,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
413686626,0,0.0,0.0,-0.2997818,-3.4901524,-0.9903108,0.0,0.0,0.0,-0.17902961,-0.02419959,1.1288286,1.1288286,0.0,0.0,0.0,0.0,0.0,0.0,1.5666739,0.0,0.9903108,-1.1288286,4.648412,3.2876287,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
413786801,0,0.0,0.0,-0.2997818,-3.4901524,-0.9903108,0.0,0.0,0.0,-0.17902961,-0.02419959,1.1291118,1.1291118,0.0,0.0,0.0,0.0,0.0,0.0,1.5664304,0.0,0.9903108,-1.1291118,4.6815004,3.3110776,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
413896851,0,0.0,0.0,-0.2997818,-3.4901521,-0.9903108,0.0,0.0,0.0,-0.1790296,-0.02419959,1.1282756,1.1282756,0.0,0.0,0.0,0.0,0.0,0.0,1.5668064,0.0,0.9903108,-1.1282756,4.7186594,3.3374126,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
413996884,0,0.0,0.0,-0.2997818,-3.4901524,-0.9903108,0.0,0.0,0.0,-0.17902961,-0.024199588,1.1183007,1.1183007,0.0,0.0,0.0,0.0,0.0,0.0,1.565597,0.0,0.9903108,-1.1183007,4.753159,3.3618639,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
414096919,0,0.0,0.0,-0.2997818,-3.4901524,-0.9903107,0.0,0.0,0.0,-0.1790296,-0.024199588,1.1348081,1.1348081,0.0,0.0,0.0,0.0,0.0,0.0,1.5665456,0.0,0.9903107,-1.1348081,4.788337,3.386797,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
414196975,0,0.0,0.0,-0.2997818,-3.4901521,-0.9903108,0.0,0.0,0.0,-0.17902961,-0.02419959,1.1046487,1.1046487,0.0,0.0,0.0,0.0,0.0,0.0,1.5660532,0.0,0.9903108,-1.1046487,0.0013810679,0.0009765625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
414297019,0,0.0,0.0,-0.29812846,-3.4899638,-0.9207192,0.0,0.0,0.0,-0.1789062,-0.024185516,1.1013716,1.1013716,0.0,0.0,0.0,0.0,0.0,0.0,1.5663799,0.0,0.9207192,-1.1013716,0.06978741,0.04941946,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
414397114,0,0.0,0.0,-0.298021,-3.4899518,-0.81405085,0.0,0.0,0.0,-0.17889819,-0.024184601,1.0957646,1.0957646,0.0,0.0,0.0,0.0,0.0,0.0,1.5660738,0.0,0.81405085,-1.0957646,0.12705848,0.09001345,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
